"Subject" "Activity" "fBodyAcc.mean.X" "fBodyAcc.mean.Y" "fBodyAcc.mean.Z" "fBodyAcc.meanFreq.X" "fBodyAcc.meanFreq.Y" "fBodyAcc.meanFreq.Z" "fBodyAcc.std.X" "fBodyAcc.std.Y" "fBodyAcc.std.Z" "fBodyAccJerk.mean.X" "fBodyAccJerk.mean.Y" "fBodyAccJerk.mean.Z" "fBodyAccJerk.meanFreq.X" "fBodyAccJerk.meanFreq.Y" "fBodyAccJerk.meanFreq.Z" "fBodyAccJerk.std.X" "fBodyAccJerk.std.Y" "fBodyAccJerk.std.Z" "fBodyAccMag.mean" "fBodyAccMag.meanFreq" "fBodyAccMag.std" "fBodyBodyAccJerkMag.mean" "fBodyBodyAccJerkMag.meanFreq" "fBodyBodyAccJerkMag.std" "fBodyBodyGyroJerkMag.mean" "fBodyBodyGyroJerkMag.meanFreq" "fBodyBodyGyroJerkMag.std" "fBodyBodyGyroMag.mean" "fBodyBodyGyroMag.meanFreq" "fBodyBodyGyroMag.std" "fBodyGyro.mean.X" "fBodyGyro.mean.Y" "fBodyGyro.mean.Z" "fBodyGyro.meanFreq.X" "fBodyGyro.meanFreq.Y" "fBodyGyro.meanFreq.Z" "fBodyGyro.std.X" "fBodyGyro.std.Y" "fBodyGyro.std.Z" "tBodyAcc.mean.X" "tBodyAcc.mean.Y" "tBodyAcc.mean.Z" "tBodyAcc.std.X" "tBodyAcc.std.Y" "tBodyAcc.std.Z" "tBodyAccJerk.mean.X" "tBodyAccJerk.mean.Y" "tBodyAccJerk.mean.Z" "tBodyAccJerk.std.X" "tBodyAccJerk.std.Y" "tBodyAccJerk.std.Z" "tBodyAccJerkMag.mean" "tBodyAccJerkMag.std" "tBodyAccMag.mean" "tBodyAccMag.std" "tBodyGyro.mean.X" "tBodyGyro.mean.Y" "tBodyGyro.mean.Z" "tBodyGyro.std.X" "tBodyGyro.std.Y" "tBodyGyro.std.Z" "tBodyGyroJerk.mean.X" "tBodyGyroJerk.mean.Y" "tBodyGyroJerk.mean.Z" "tBodyGyroJerk.std.X" "tBodyGyroJerk.std.Y" "tBodyGyroJerk.std.Z" "tBodyGyroJerkMag.mean" "tBodyGyroJerkMag.std" "tBodyGyroMag.mean" "tBodyGyroMag.std" "tGravityAcc.mean.X" "tGravityAcc.mean.Y" "tGravityAcc.mean.Z" "tGravityAcc.std.X" "tGravityAcc.std.Y" "tGravityAcc.std.Z" "tGravityAccMag.mean" "tGravityAccMag.std"
"1" 1 "LAYING" -0.48693032402 -0.669047994946 -0.54821399284 -0.65425444546 -0.67360868866 -0.59465642342 -0.55299495464 -0.58666354736 -0.51486584202 -0.52626845924 -0.589560414836 -0.65467798509 -0.591027384548 -0.6034106716814 -0.6359006874 -0.5722518584086 -0.613672100458 -0.60527113586 -0.48863192062 -0.51246100346 -0.45101657794 -0.485419561048 -0.5884593533874 -0.52212755584 -0.65421018664 -0.583681291226 -0.61844172902 -0.538717075 -0.696225597012 -0.3689044827 -0.560744815312 -0.530298416648 -0.516377193278 -0.575140693686 -0.5069161440038 -0.57183467774 -0.53165424333 -0.60808366092 -0.59548765482 -0.558288895974 -0.67738712288 -0.6491174402 -0.65736841024 -0.4524177414 -0.49695333961 -0.55032608596 -0.64178167754 -0.490373608664 -0.45309759884 -0.621721445446 -0.634840884752 -0.4654008827006 -0.539587732588 -0.595395587324 -0.541424055784 -0.5582868174 -0.56461075688 -0.53921466969 -0.687580417872 -0.6128776246166 -0.590929575378 -0.529932790098 -0.640610564948 -0.541632860358 -0.63591396476 -0.707038856274 -0.68341992866 -0.5155637256 -0.40780905594 -0.38312390948 -0.56531045606 -0.54708178082 -0.5310177279632 -0.498638290602 -0.5180128927 -0.43969244806 -0.408738284708 -0.606229876818 -0.55315675908
"2" 1 "SITTING" -0.580569181017021 -0.58821250487234 -0.393187600212766 -0.671189181744681 -0.7074003504 -0.746027720032553 -0.504318312574468 -0.580939152531915 -0.56768497611617 -0.540768126234043 -0.706178544829787 -0.610816136978723 -0.475733757414894 -0.51959520792766 -0.676805652531915 -0.562853549978723 -0.455892624191489 -0.369850934723404 -0.637964918176596 -0.557032777117021 -0.642014947610638 -0.569754497185106 -0.480410697625532 -0.447711315821277 -0.569933026553191 -0.570082981468085 -0.534102669319149 -0.622706682 -0.648973804042553 -0.550912808387234 -0.599800622382979 -0.543168304829787 -0.448157437446809 -0.84760163806383 -0.655053807291489 -0.662495202170213 -0.557274629510638 -0.590840466268085 -0.72907506287234 -0.760489406595745 -0.709717552546808 -0.711231838148936 -0.749051239923404 -0.495609801212766 -0.560172873053192 -0.710338351723404 -0.59928750912766 -0.693833698361702 -0.608854539951915 -0.766968397776596 -0.745530799489362 -0.746795314 -0.666435868276596 -0.624806074240426 -0.594914202531915 -0.696768074234043 -0.647583310102128 -0.52604340157234 -0.482658041203617 -0.45574050112617 -0.574946995161702 -0.457588673838298 -0.456396408659574 -0.380790770619149 -0.368761678891489 -0.525836178148936 -0.576281108659574 -0.518681228131915 -0.553680620648936 -0.540029942780851 -0.479702445357447 -0.545561270680851 -0.552104724085106 -0.440679301629787 -0.440458019508511 -0.524600635240426 -0.538774209914894 -0.770432574531915 -0.672121468038298
"3" 1 "STANDING" -0.527143379226415 -0.541084089962264 -0.617723247344151 -0.601445141530189 -0.637802402777358 -0.662958301433774 -0.634450241601887 -0.621740351188679 -0.600772310773585 -0.664103575132076 -0.627044088484906 -0.625900179477359 -0.621008152037736 -0.646070120960377 -0.648641623426415 -0.652441857750943 -0.625543435826415 -0.633623937109434 -0.632456736611321 -0.616757901390566 -0.609929345577358 -0.58477768220566 -0.652267929216981 -0.628291649539623 -0.676920983607547 -0.655094141528302 -0.680790339528302 -0.667266639259057 -0.671679165324528 -0.664558264877358 -0.669074315039623 -0.694167208226415 -0.680767726367924 -0.670160781115094 -0.653036006803774 -0.628170902007547 -0.670522625951698 -0.652785976669811 -0.669122806222642 -0.642556640815094 -0.64094644879434 -0.634959242884906 -0.614022759132075 -0.610416760407547 -0.55130355037317 -0.578512806524245 -0.603316619396226 -0.62377709679566 -0.58400676445283 -0.581597531126415 -0.575290322924528 -0.589174383984906 -0.589791030320755 -0.587786596879245 -0.616253162849057 -0.594271025601887 -0.577904548413208 -0.551893626320755 -0.512177720120755 -0.507974175235849 -0.454966076724528 -0.482326344584906 -0.527240208849057 -0.542104628509434 -0.557890842037736 -0.555483959449057 -0.570009191113208 -0.557772627020566 -0.512399634775472 -0.582591126811321 -0.572733277528302 -0.564125942496792 -0.544111181241509 -0.546031987409434 -0.556244477409245 -0.560854907647415 -0.585190539386792 -0.60391787665283 -0.573466829828302
"4" 1 "WALKING" -0.156709025032537 -0.146346859925263 -0.198195286842105 -0.142840417214737 -0.103403812397895 -0.118944603124421 -0.185741177505263 -0.175285231524947 -0.160475168442105 -0.114254601244211 -0.110432033913684 -0.147766434621053 -0.156333435855789 -0.149086694395789 -0.167327960520316 -0.171079594631579 -0.145875873289474 -0.137464584634737 -0.190441684483158 -0.12879794294 -0.193293262188421 -0.121039910409474 -0.160284818321053 -0.165761762942105 -0.140338545155789 -0.170258591513684 -0.145234610502105 -0.244638417477895 -0.157909230672632 -0.200678108396842 -0.1349184252 -0.232454281576842 -0.166071727912632 -0.213573804725263 -0.147813201788421 -0.157043206750526 -0.188529238261053 -0.197200672950526 -0.184805588395368 -0.154403923450316 -0.214367708076842 -0.188309493419895 -0.179850586631579 -0.170766769287474 -0.173982762069474 -0.16146088042 -0.154714495837895 -0.144935141743158 -0.125211822833684 -0.158228152716842 -0.149002880437895 -0.205674994453684 -0.184544883852632 -0.230844575184211 -0.17242592508 -0.146236073750526 -0.135478559532632 -0.0895069147010526 -0.151167361736842 -0.159042048473684 -0.187030398335579 -0.149215445522105 -0.122373227252632 -0.111444176912211 -0.1320015466 -0.176003677775789 -0.195825655617895 -0.167136373273053 -0.215530669918947 -0.137762743870526 -0.157784442111579 -0.154228516631684 -0.162408924246 -0.154852006968421 -0.138150873896842 -0.186320577657895 -0.178995093663158 -0.171809157935789 -0.205823178887368
"5" 1 "WALKING_DOWNSTAIRS" -0.165656514459184 -0.123057915530612 -0.098763805455102 -0.127611590279592 -0.173391038138776 -0.131430699714286 -0.0606777354489796 -0.116143830981633 -0.0989332558204082 -0.180142712959184 -0.208246857631224 -0.222382357461224 -0.0707900810959184 -0.105202285219796 -0.113299480328163 -0.193036818191837 -0.14058121865102 -0.046196103177551 -0.0809146907897959 -0.0578679883673469 -0.131673066014286 -0.109153281285714 -0.103162752338776 -0.127895777959184 -0.0275309331861225 -0.160677961591837 -0.0868730232079592 -0.149833834285714 -0.109077449830184 -0.0860921408016326 -0.158924428020408 -0.116231514081633 -0.119731923893878 -0.101231418408163 -0.0798651573612245 -0.0955211657285714 -0.0747343364877551 -0.174415370791837 -0.190907398002041 -0.18034514275102 -0.24426466507551 -0.141956208559184 -0.0926380019510204 -0.163876189989796 -0.223162208077551 -0.201681962206122 -0.116459257860204 -0.147310144897959 -0.0953011988673469 -0.116015121555102 -0.105923668036735 -0.177429568518367 -0.132660801517755 -0.223072542144898 -0.123483338495918 -0.156322083863265 -0.149026682938775 -0.0779906163816327 -0.13557169255102 -0.163621569046939 -0.120100189991837 -0.114297867004082 -0.0355608864897959 0.0403604904122449 -0.0499420571877551 -0.0993086870408163 -0.143295248664082 -0.0627704603938776 -0.121749665038776 -0.0601381090914286 -0.0904406673163265 -0.132332665693878 -0.0936722859387755 -0.054350807877551 -0.120652398779592 -0.109646943138776 -0.188077360846939 -0.145518833855102 -0.159682828346939
"6" 1 "WALKING_UPSTAIRS" -0.334684732926415 -0.359649666677358 -0.34838869954717 -0.36684010254717 -0.346677758843396 -0.363493444896226 -0.347206765343396 -0.295791093477358 -0.373063374169811 -0.287647593501887 -0.286709261773585 -0.321160975981132 -0.297356743898113 -0.231179237909434 -0.257246179588679 -0.292926731698113 -0.308831388056604 -0.260637652132075 -0.270216504118868 -0.340162330403774 -0.308993824709434 -0.274325577488679 -0.322890460720755 -0.318331093245283 -0.33292365340566 -0.331353632016981 -0.316193510698113 -0.294349815713208 -0.252661830511321 -0.327395125516981 -0.306810546566038 -0.233809876798113 -0.248756529560377 -0.295243843607547 -0.28754527175283 -0.258885333999811 -0.260678493066038 -0.303591639848868 -0.236156227515094 -0.298562896613208 -0.305110683180943 -0.257469706924528 -0.281396955345283 -0.308818899830189 -0.244211310988679 -0.2367172777 -0.284728405722642 -0.255990094113208 -0.311665093584906 -0.279950302566038 -0.299244115020755 -0.31527022054717 -0.350558819058491 -0.34753187375283 -0.357017263596226 -0.312535312037736 -0.304323649490566 -0.310494815188679 -0.323186790439623 -0.273445779622641 -0.345615742754717 -0.337127122867925 -0.311787863132075 -0.331613289037736 -0.388864551356604 -0.297657160132075 -0.400436633716981 -0.331751264960377 -0.354716168497547 -0.357105245849057 -0.390453200584906 -0.245499915496226 -0.305541773124528 -0.264134812269811 -0.257887859228302 -0.262660190616981 -0.306339045092453 -0.35752733790566 -0.355499252150943
"7" 2 "LAYING" -0.581705386954167 -0.58133498365625 -0.5933803275625 -0.451474818508333 -0.4397126227 -0.5441529080125 -0.636821198104167 -0.622649588416667 -0.566933141464583 -0.550507987583333 -0.548674007808333 -0.454761570395833 -0.623445870914583 -0.529203733929167 -0.475930327041667 -0.4658698141875 -0.586122608745833 -0.504863118333333 -0.70196495420625 -0.652595137972917 -0.63543498950625 -0.62567137893125 -0.645061358760417 -0.575563002958333 -0.5680899176625 -0.593082059416667 -0.578663266083333 -0.619904977466667 -0.665072829491667 -0.656655964406458 -0.5562365459375 -0.537343311354167 -0.5927879470625 -0.67822091565 -0.58036038666875 -0.6648744972425 -0.681368916095833 -0.563894479104167 -0.599665196916667 -0.65806274403125 -0.602840389041667 -0.541669660952083 -0.6067971055 -0.567237572395833 -0.671159151979167 -0.6591069073875 -0.633888844456958 -0.655298527666667 -0.582625109545833 -0.628013535029167 -0.6637828003375 -0.59362517825 -0.5572829879375 -0.581040045116667 -0.629262489784583 -0.588772284289583 -0.692237926522917 -0.582203543916667 -0.548256583225 -0.579402857854167 -0.606018387354167 -0.564223031177083 -0.560512690083333 -0.546446651747917 -0.498062262654167 -0.5397694518125 -0.603086660514583 -0.643628508308333 -0.665205830854167 -0.649080078354167 -0.687933523335417 -0.597032085604167 -0.629466961895833 -0.640216511708333 -0.533144485172917 -0.6149006276625 -0.6235376703 -0.633087608252083 -0.58186484613125
"8" 2 "SITTING" -0.562638624173913 -0.545550527195652 -0.522461704565217 -0.770074353173913 -0.683134638869565 -0.666781748521739 -0.653244041043478 -0.763256160430435 -0.757940647671739 -0.682457302600217 -0.686726324856522 -0.661667913454348 -0.670748551304348 -0.57367200123913 -0.518837368543478 -0.629515799203043 -0.56786941986087 -0.52923013313913 -0.437985714173913 -0.604095443865217 -0.584099977395652 -0.64029244211087 -0.69744967876087 -0.732202055985 -0.702860599608696 -0.677998252471739 -0.668068350636957 -0.684843100326087 -0.746821701054348 -0.734283453808696 -0.502892113487826 -0.583953008017174 -0.645724912423913 -0.500133928832609 -0.43093935726087 -0.458427296673913 -0.590470987756522 -0.642072479065217 -0.597279734602174 -0.635817170380435 -0.624486243817391 -0.477887393313043 -0.46013205338913 -0.410698014343478 -0.499302513130435 -0.629571769304348 -0.598624747180435 -0.703832267973478 -0.714017879413044 -0.671383747847826 -0.632618443195652 -0.581782612162609 -0.482289121192826 -0.665505525906522 -0.56093557656087 -0.541928602086956 -0.555906296968913 -0.549650561552174 -0.666080313243478 -0.655092406993478 -0.566966279152174 -0.609006322602174 -0.650406357913043 -0.654640938195652 -0.631514530328261 -0.748138590643478 -0.610544307778261 -0.52358024925 -0.669253261152174 -0.43240162365 -0.498757810628261 -0.522307691473913 -0.448141683643478 -0.506984131013044 -0.474724366282609 -0.554948983130435 -0.527110564130435 -0.562372957316087 -0.613011610817261
"9" 2 "STANDING" -0.620813042022222 -0.599911116605556 -0.558270195870556 -0.648972673798148 -0.615238491174074 -0.606380472259259 -0.545567059798148 -0.562627025501852 -0.618781945666667 -0.589887779625926 -0.589279410474074 -0.583458743427778 -0.619259383025926 -0.640373674203704 -0.639481568483333 -0.569182800418519 -0.6131403725 -0.628909813188889 -0.602445265696296 -0.58850294222037 -0.568646350100185 -0.54596996822963 -0.533133254738889 -0.545441884838889 -0.642284398722222 -0.643835717209259 -0.652875283405556 -0.563048640648148 -0.609182330875926 -0.572785798431481 -0.635861087685185 -0.692157779611111 -0.685260763981482 -0.645487728998148 -0.656357240203704 -0.650616226462963 -0.678301583612963 -0.703169505409259 -0.638506689611111 -0.618518692975926 -0.64349643208537 -0.659315055964815 -0.634901034881482 -0.649527357046296 -0.6095645739 -0.637692986092593 -0.584723756537037 -0.600894045366667 -0.582850455166667 -0.583831712275926 -0.535764022240741 -0.585426437598148 -0.603226833951852 -0.65694460887037 -0.619238487072222 -0.529057448203704 -0.522905303092593 -0.561235220981481 -0.576115284388889 -0.586061414369259 -0.56940831007963 -0.596012916833333 -0.624382565985185 -0.64634891137037 -0.649804794451852 -0.611798475627778 -0.549987344287037 -0.63573792832037 -0.597286085444444 -0.623676811831481 -0.613505938282037 -0.594385302727778 -0.546538316666667 -0.578806272768518 -0.587787569483333 -0.594635124166667 -0.624555993875926 -0.64721510010037 -0.631276089266667
"10" 2 "WALKING" -0.242451790218644 -0.255765810205085 -0.24294684640678 -0.218574949418644 -0.197862452789831 -0.24373980890678 -0.234352001762712 -0.274919040091525 -0.234267093137288 -0.240656107427119 -0.327161980590508 -0.238063198745763 -0.292800531440678 -0.279046782220339 -0.287418313935593 -0.310797362915254 -0.30398067320339 -0.282454518345763 -0.273261774540678 -0.240023766210508 -0.292168832576271 -0.231204036677966 -0.268258227684746 -0.217648023679661 -0.274685692105085 -0.281848746372881 -0.233338667661017 -0.233580597849831 -0.278751835940678 -0.265701437237288 -0.292814264447458 -0.277337121389831 -0.263837280822034 -0.289061120813559 -0.287044798915254 -0.287943963753729 -0.263692713118644 -0.310453613525424 -0.248846312949153 -0.290087216054237 -0.272743619745763 -0.247652322325424 -0.218344130315254 -0.272191337491525 -0.28787789620339 -0.297401304179661 -0.27710793479661 -0.311114065518644 -0.298735898130508 -0.287916694627119 -0.23963854899661 -0.242773919750847 -0.172648689434746 -0.234184431608475 -0.24368534301017 -0.245540047477458 -0.181039497322034 -0.232225192161017 -0.240779780228814 -0.256311788491525 -0.231313805237288 -0.299417057395593 -0.241188201618644 -0.308995958983051 -0.326551108561017 -0.332518223789831 -0.29204102959322 -0.243251059771186 -0.205694481052542 -0.233174680186441 -0.220505042762712 -0.283122618033898 -0.246475970813559 -0.260236302322034 -0.353811923438983 -0.296459773769492 -0.309381929222542 -0.236255597771186 -0.223198789213559
